time,ax,ay,az,atotal
30.180480003356934,-0.01,0.01,-0.01,0.01
30.191372871398926,-0.01,0.01,-0.01,0.01
30.206063985824585,-0.01,0.01,-0.01,0.01
30.209720134735107,-0.01,0.01,0.0,0.01
30.219895839691162,-0.01,0.0,-0.01,0.01
30.232496976852417,-0.02,0.01,0.0,0.02
30.241677045822144,-0.01,0.01,-0.01,0.01
30.257140159606934,-0.01,0.01,0.0,0.01
30.25904607772827,-0.02,0.01,0.0,0.02
30.269381046295166,-0.01,0.01,0.0,0.01
30.28143000602722,-0.01,0.01,-0.01,0.01
30.289977073669434,-0.01,0.01,-0.01,0.01
30.30224299430847,-0.01,0.01,0.0,0.01
30.309046030044556,-0.02,0.01,-0.02,0.03
30.319429874420166,-0.01,0.01,0.0,0.01
30.33167314529419,-0.02,0.0,0.0,0.02
30.33891487121582,-0.02,0.0,-0.01,0.02
30.348618984222412,-0.01,0.0,-0.01,0.01
30.35853910446167,-0.01,0.0,-0.01,0.01
30.36870813369751,-0.01,0.0,-0.01,0.01
30.38088297843933,-0.01,0.0,0.0,0.01
30.390395164489746,-0.02,0.01,-0.01,0.02
30.40438413619995,-0.01,0.01,-0.01,0.01
30.407955169677734,-0.01,0.0,-0.01,0.01
30.418184995651245,-0.01,0.0,0.0,0.01
30.4286789894104,-0.02,0.0,-0.01,0.02
30.440819025039673,-0.01,0.0,0.0,0.01
30.451833963394165,-0.02,-0.01,-0.01,0.02
30.458076000213623,-0.01,0.01,-0.01,0.01
30.46762990951538,-0.01,0.01,0.0,0.01
30.478178024291992,-0.01,0.0,0.0,0.01
30.490257024765015,-0.02,0.0,-0.01,0.02
30.504302978515625,-0.01,0.0,-0.01,0.01
30.50763201713562,-0.02,0.0,-0.01,0.02
30.517558097839355,-0.02,-0.01,-0.01,0.02
30.528963088989258,-0.02,-0.01,-0.01,0.02
30.539122104644775,-0.02,0.0,-0.01,0.02
30.550616979599,-0.02,0.01,-0.01,0.02
30.55718183517456,-0.01,0.0,-0.01,0.01
30.56695294380188,-0.01,-0.01,-0.01,0.01
30.5793399810791,-0.01,0.01,-0.01,0.01
30.58879804611206,-0.01,0.0,-0.01,0.01
30.601181030273438,-0.01,0.01,-0.02,0.02
30.606806993484497,-0.01,0.01,-0.01,0.01
30.616918087005615,-0.01,0.0,0.0,0.01
30.629215955734253,0.0,0.01,-0.01,0.01
30.638277053833008,-0.01,0.01,-0.01,0.01
30.650903940200806,-0.01,0.0,-0.01,0.01
30.656242847442627,-0.01,0.01,0.0,0.01
30.666857957839966,-0.01,0.0,-0.01,0.01
30.67893099784851,-0.02,0.0,-0.01,0.02
30.686835050582886,-0.03,0.01,-0.01,0.03
30.697494983673096,-0.01,-0.01,0.0,0.01
30.70601797103882,-0.01,0.01,0.0,0.01
30.71582317352295,-0.01,0.0,0.0,0.01
30.72837209701538,-0.01,0.0,-0.01,0.01
30.73792600631714,-0.01,-0.01,-0.01,0.01
30.752860069274902,-0.01,0.01,-0.01,0.01
30.755728006362915,-0.01,0.01,-0.01,0.01
30.765811920166016,-0.01,0.0,0.0,0.01
30.77708911895752,-0.01,0.0,0.0,0.01
30.787019968032837,-0.01,0.0,0.0,0.01
30.80360698699951,0.0,0.0,0.01,0.01
30.805258989334106,-0.01,0.0,-0.01,0.01
30.815564155578613,-0.02,0.0,0.0,0.02
30.827587127685547,-0.01,0.0,0.0,0.01
30.8350670337677,-0.01,0.0,-0.01,0.01
30.845035076141357,-0.02,0.0,-0.01,0.02
30.85512900352478,-0.02,0.01,-0.01,0.02
30.865110874176025,-0.01,0.0,-0.01,0.01
30.87736701965332,-0.01,0.0,0.0,0.01
30.886548042297363,-0.01,0.0,0.0,0.01
30.898487091064453,-0.01,0.01,-0.01,0.01
30.905107021331787,-0.02,0.0,0.0,0.02
30.914963006973267,-0.01,0.01,0.0,0.01
30.926834106445312,-0.01,0.0,0.0,0.01
30.934860944747925,-0.02,0.02,0.0,0.02
30.945734977722168,-0.02,0.0,-0.01,0.02
30.95436191558838,-0.02,0.0,-0.01,0.02
30.96466898918152,-0.02,0.0,-0.01,0.02
30.977130889892578,-0.01,0.0,-0.01,0.01
30.984135150909424,-0.01,0.0,-0.01,0.01
30.994306087493896,-0.02,0.01,-0.01,0.02
31.004204988479614,-0.01,0.0,-0.01,0.01
31.01453995704651,-0.01,0.01,0.0,0.01
31.026660919189453,-0.01,0.0,0.0,0.01
31.035210132598877,-0.01,0.0,0.0,0.01
31.049635887145996,-0.01,0.01,-0.01,0.01
31.053797960281372,-0.01,0.01,-0.01,0.01
31.063456058502197,-0.01,0.0,-0.01,0.01
31.076421976089478,-0.02,0.0,-0.01,0.02
31.104727029800415,-0.02,0.01,0.0,0.02
31.119441032409668,-0.01,0.01,-0.01,0.01
31.120465993881226,-0.01,0.0,-0.01,0.01
31.121196031570435,-0.01,0.0,0.0,0.01
31.12291383743286,-0.01,0.0,0.0,0.01
31.13298797607422,-0.01,0.01,-0.01,0.01
31.14287495613098,-0.02,0.0,-0.01,0.02
31.153153896331787,-0.01,0.0,-0.01,0.01
31.16365098953247,-0.01,0.0,-0.01,0.01
31.17402195930481,-0.01,0.0,-0.01,0.01
31.184125900268555,-0.01,0.0,0.0,0.01
31.198708057403564,-0.01,0.0,-0.01,0.01
31.202191829681396,-0.01,-0.01,-0.01,0.01
31.214829921722412,-0.02,0.0,-0.01,0.02
31.22453784942627,-0.01,0.01,0.0,0.01
31.233914852142334,-0.01,0.0,-0.01,0.01
31.243028163909912,0.0,0.01,0.0,0.01
31.25239086151123,0.0,0.0,-0.01,0.01
31.267904043197632,-0.02,0.0,0.0,0.02
31.27294683456421,-0.02,0.0,-0.01,0.02
31.284034967422485,-0.01,0.01,-0.02,0.02
31.291799068450928,-0.01,0.0,-0.01,0.01
31.327298164367676,-0.01,0.01,0.0,0.01
31.331138134002686,-0.01,0.01,-0.01,0.01
31.334681034088135,-0.01,0.0,-0.02,0.02
31.3385968208313,-0.01,0.0,-0.01,0.01
31.377043962478638,-0.01,0.01,0.0,0.01
31.3807590007782,-0.01,0.01,-0.01,0.01
31.38449501991272,-0.02,0.0,0.0,0.02
31.385830879211426,-0.01,0.02,-0.01,0.02
31.420977115631104,-0.01,0.01,-0.01,0.01
31.857805013656616,-0.01,-0.01,-0.01,0.01
31.858412981033325,-0.01,0.0,0.0,0.01
31.85884714126587,-0.01,0.0,-0.01,0.01
31.859260082244873,-0.01,0.01,-0.01,0.01
31.859652996063232,-0.01,0.01,-0.01,0.01
31.861435890197754,-0.01,0.0,-0.01,0.01
31.861927032470703,-0.02,0.01,-0.01,0.02
31.862371921539307,-0.01,0.01,-0.01,0.01
31.862804889678955,-0.01,0.01,0.0,0.01
31.863258838653564,-0.01,0.0,-0.02,0.02
31.864588975906372,-0.01,0.0,-0.01,0.01
31.86503791809082,-0.01,0.01,0.0,0.01
31.865498065948486,-0.01,0.0,-0.02,0.02
31.865926027297974,-0.02,0.0,-0.01,0.02
31.866382122039795,-0.02,0.01,0.0,0.02
31.867892026901245,-0.01,0.0,-0.02,0.02
31.868356943130493,-0.01,0.0,0.0,0.01
31.868778944015503,-0.01,0.01,0.0,0.01
31.869245052337646,-0.01,0.0,-0.02,0.02
31.869662046432495,-0.01,0.0,0.01,0.01
31.870959997177124,-0.01,0.01,-0.01,0.01
31.871439933776855,-0.01,0.0,-0.02,0.02
31.871893882751465,-0.01,-0.01,-0.01,0.01
31.87230110168457,-0.01,-0.01,0.0,0.01
31.872742176055908,-0.01,0.0,-0.02,0.02
31.873937129974365,-0.01,0.0,-0.02,0.02
